Date,Coin,Qty,Side,Price,Note
03/05 23:30:08,KRW-NEAR,0.7757951900698216,buy,12890.0,Buy-4: coin in overSold
03/07 11:04:54,KRW-NEAR,1.60398842,sell,12360.0,Sell-3: 12370.0<12605.0and12360.0<12370.0
03/07 11:05:01,KRW-WAVES,0.43859649122807015,buy,22800.0,Buy-2: KRW-WAVES / 22810.0 > 22650.0 and 22650.0 > 22377.0
03/07 16:00:09,KRW-WAVES,0.86775303,sell,22900.0,Sell-3: 23116.0<23206.0and22920.0<23116.0
03/07 21:16:17,KRW-WAVES,0.4206983592763988,buy,23770.0,Buy-2: KRW-WAVES / 23770.0 > 23000.0 and 23000.0 > 22996.0
03/07 21:30:52,KRW-WAVES,0.417573005,sell,24210.0,Sell-1: 70.6 >= 70 and0.83514601 / 2 > 5000 / 24230.0
03/07 21:31:06,KRW-WAVES,0.4120313143798929,buy,24270.0,Buy-2: KRW-WAVES / 24270.0 > 23374.0 and 23374.0 > 23130.0
03/07 21:31:07,KRW-WAVES,0.208786505,sell,24240.0,Sell-1: 70.8 >= 70 and0.41757301 / 2 > 5000 / 24270.0
03/07 21:31:23,KRW-WAVES,0.4103405826836274,buy,24370.0,Buy-2: KRW-WAVES / 24360.0 > 23396.0 and 23396.0 > 23142.0
03/07 21:31:24,KRW-WAVES,0.31344615,sell,24400.0,Sell-1: 71.7 >= 70 and0.6268923 / 2 > 5000 / 24370.0
03/07 21:31:39,KRW-WAVES,0.4045307443365696,buy,24720.0,Buy-2: KRW-WAVES / 24670.0 > 23466.0 and 23466.0 > 23174.0
03/07 21:31:39,KRW-WAVES,0.260712475,sell,24720.0,Sell-1: 74.1 >= 70 and0.52142495 / 2 > 5000 / 24720.0
03/07 21:31:54,KRW-WAVES,0.4032258064516129,buy,24790.0,Buy-2: KRW-WAVES / 24750.0 > 23478.0 and 23478.0 > 23186.0
03/07 21:31:54,KRW-WAVES,0.284725115,sell,24800.0,Sell-1: 75.0 >= 70 and0.56945023 / 2 > 5000 / 24800.0
03/07 21:32:09,KRW-WAVES,0.40338846308995563,buy,24790.0,Buy-2: KRW-WAVES / 24780.0 > 23478.0 and 23478.0 > 23184.0
03/07 21:32:10,KRW-WAVES,0.271911005,sell,24770.0,Sell-1: 74.9 >= 70 and0.54382201 / 2 > 5000 / 24770.0
03/07 21:32:24,KRW-WAVES,0.4046944556859571,buy,24720.0,Buy-2: KRW-WAVES / 24720.0 > 23466.0 and 23466.0 > 23176.0
03/07 21:32:25,KRW-WAVES,0.27852007,sell,24720.0,Sell-1: 74.5 >= 70 and0.55704014 / 2 > 5000 / 24720.0
03/07 21:32:40,KRW-WAVES,0.4048582995951417,buy,24700.0,Buy-2: KRW-WAVES / 24750.0 > 23470.0 and 23470.0 > 23179.0
03/07 21:32:41,KRW-WAVES,0.27532966,sell,24760.0,Sell-1: 74.9 >= 70 and0.55065932 / 2 > 5000 / 24760.0
03/07 21:32:55,KRW-WAVES,0.4030632809351068,buy,24780.0,Buy-2: KRW-WAVES / 24790.0 > 23482.0 and 23482.0 > 23187.0
03/07 21:32:56,KRW-WAVES,0.276995855,sell,24820.0,Sell-1: 75.0 >= 70 and0.55399171 / 2 > 5000 / 24810.0
03/07 21:33:11,KRW-WAVES,0.4051863857374392,buy,24680.0,Buy-2: KRW-WAVES / 24690.0 > 23458.0 and 23458.0 > 23173.0
03/07 21:33:12,KRW-WAVES,0.275589905,sell,24670.0,Sell-1: 74.3 >= 70 and0.55117981 / 2 > 5000 / 24680.0
03/07 21:33:27,KRW-WAVES,0.40535062829347385,buy,24670.0,Buy-2: KRW-WAVES / 24690.0 > 23452.0 and 23452.0 > 23170.0
03/07 21:33:28,KRW-WAVES,0.276876925,sell,24650.0,Sell-1: 74.3 >= 70 and0.55375385 / 2 > 5000 / 24650.0
03/07 21:33:42,KRW-WAVES,0.40535062829347385,buy,24670.0,Buy-2: KRW-WAVES / 24680.0 > 23458.0 and 23458.0 > 23173.0
03/07 21:33:43,KRW-WAVES,0.276047085,sell,24670.0,Sell-1: 74.2 >= 70 and0.55209417 / 2 > 5000 / 24670.0
03/07 21:33:57,KRW-WAVES,0.4024144869215292,buy,24850.0,Buy-2: KRW-WAVES / 24860.0 > 23488.0 and 23488.0 > 23191.0
